meter_serial,name,status
MSY300267000,YÜRÜYEN MERDİVEN 1,ok
MSY300267184,YÜRÜYEN MERDİVEN 2,ok
MSY300267466,"B-2 ve B-3 G12 AVM GİRİŞLER, KAYAR LED*",ok
MSY300267157,SCH İNDLER CAM ASANSÖR,ok
MSY300265654,E BEBEK,ok
MSY300265657,BOUTİQUEN (KFC SOL YANI),ok
MSY300265643,(GRANDE GÜV. OFİSİ) AVM YÖNETİM 360,ok
MSY300265642,RED ROSECAKE,ok
MSY300265656,STARBACKS,ok
MSY300265752,ARDEN FC 358,ok
MSY300265470,OTOMANA 1453,ok
MSY300264784,RİTİM BAHÇE REKLAM (AVM SAYACI),ok
MSY300267324,TÜRKTELEKOM 105,ok
MSY300267029,VODEFONE 106,ok
MSY300267329,TÜRKCELL 107,ok
2778336,MİTSUBISHI ASANSÖR1 163,not_found
MSY300267022,G12 AS-30  AVM MİTSUBISHI ASANSÖR2 164,ok
2778276,TİCARİ ASANSÖR1 165,not_found
VIK2778117,TİCARİ ASANSÖR2 166,not_found
MSY300267319,YÜRÜYEN MERDİVEN1 167,ok
MSY300267013,YÜRÜYEN MERDİVEN2 168,ok
MSY300267330,PENTİ,ok
MSY300267321,GALERİ OPTİK,ok
MSY300267010,KÖFTECİ YUSUF KÖMÜR DEPO,no_readings
MSY300266997,"PERSONEL DİNLENME ALANI ODASI B-2 ELEK,OD",ok
MSY100371627,YAPI KREDİ ATM,ok
MSY100371728,GARANTİ ATM,ok
MSY100371354,İŞBANKASI ATM,ok
MSY100371459,AKBANK ATM,ok
MSY100371470,ZİRAAT BANKASI ATM,ok
MSY810044631,Trafo 4,not_found
MSY300265471,A1 YANGIN PANOSU,ok
MSY200465983,TÜRKTELEKOM YENİ SAYAÇ ,not_found
MSY300265974,KÖFTECİ YUSUF1,ok
MSY810026991,KÖFTECİ YUSUF2,not_found
MSY810026769,KÖFTECİ YUSUF3,not_found
MSY300267001,KÖFTECİ YUSUF DEPO 4,ok
MSY300266994,A-2 BLOK KAYAR LED DIŞ AYDINLATMA,ok
MSY300265566,BURGER KİNG 2,ok
MSY300265964,KÖFTECİ YUSUF 5,ok
MSY300265466,FUNDORA AİLE EĞLENCE MERKEZİ,ok
MSY300265468,FUNDORA içi KLİMA SANTRALİ,no_readings
MSY300265757,AUTO CLUB (OTO YIKAMA),ok
MSY300265755,GETİR  45,ok
MSY300264781,GARAJ FORM NO 11 (MOTORCULAR),ok
MSY300264782,AYUMİ DEPO,ok
2386397,A 46 B-1 KAT TİCARİ A-046  B-1 TİCARİ KAT (GULFSTAR),not_found
2386241,A 47 B-1 KAT TİCARİ,not_found
MSY300267185,SÜPER ONLİNE  108,ok
MSY300267183,VODEFONE 109,ok
MSY300264792,YENİ YÖNETİM OFİS,ok
MSY100100861,GÜLSOY OTOMOTİV KURTKÖY,not_found
2777073,DÜKKAN 39 ÜÇAY MÜHENDİSLİK,not_found
2777096,DÜKKAN 40 ÜÇAY MÜHENDİSLİK,not_found
2777086,DÜKKAN 41 ÜÇAY MÜHENDİSLİK,not_found
2777023,B-1 KAT TİCARİ DÜKKAN 42,not_found
2777124,B-1 KAT TİCARİ DÜKKAN 43,not_found
2777069,B-1 KAT TİCARİ DÜKKAN 44,not_found
2776956,B-1 KAT TİCARİ DÜKKAN 45,not_found
MSY300264785,DRY CLEAN ( KURU TEMİZLEME),ok
MSY300264777,NEZİH KİTAP EVİ,ok
MSY300265649,MICHIGAN KAFE,ok
MSY300267172,ECZANE,ok
MSY300264780,NORMOD MOBİLYA,ok
2778223,A-055 B-1 TİCARİ KAT  (BRAİN CENTER),not_found
2778165,A-056 B-1 TİCARİ KAT (STUDİORKİDE),not_found
50775584,A-057 B-1 TİCARİ KAT (H MİMARLIK),not_found
MSY300267468,OKTAY TORLAK,ok
2778373,A-058 B-1 TİCARİ KAT  (KADİR BÜYÜKKAYA),not_found
2778113,A-059 B-1 TİCARİ KAT  (PROBEX),not_found
2777411,A-060 B-1 TİCARİ KAT  (içerde tadilat var),not_found
2777285,A-061 B-1 TİCARİ KAT  AKLIMDAKİ EV (EMLAM),not_found
2778370,A5-171 1 KAT TİCARİ OFİS (DEVATEK),not_found
2778227,A5-172 1 KAT TİCARİ OFİS (DEVATEK),not_found
2777783,A5-173 1 KAT TİCARİ OFİS,not_found
2778286,A5-174 1 KAT TİCARİ OFİS,not_found
2778242,A5-175 1 KAT TİCARİ OFİS,not_found
2777506,A5-176 1 KAT TİCARİ OFİS,not_found
2778266,A5-177 1 KAT TİCARİ OFİS,not_found
2778269,A5-178 1 KAT TİCARİ OFİS (İPEK YOLU),not_found
2777703,A5-179 1 KAT TİCARİ OFİS (İPEK YOLU),not_found
2778337,A5-180 1 KAT TİCARİ OFİS ,not_found
2778303,A5-181 1 KAT TİCARİ OFİS  (ALLZİN),not_found
2777632,A5-182 1 KAT TİCARİ OFİS (KİN TURKEY),not_found
2778274,A5-183 1 KAT TİCARİ OFİS,not_found
2777610,A5-184 1 KAT TİCARİ OFİS,not_found
2777742,A5-185 1 KAT TİCARİ OFİS (HÜSEYİN ÖNDER ALDEMİR),not_found
2777730,A5-186 1 KAT TİCARİ OFİS,not_found
2777607,A5-187 1 KAT TİCARİ OFİS,not_found
2777613,A5-188 1 KAT TİCARİ OFİS (CEREN SEYHAN),not_found
2777684,"A5-189 1 KAT TİCARİ OFİS (CİHANGİR SAĞ, TURZ)",not_found
2777529,A5-190 1 KAT TİCARİ OFİS,not_found
MSY300267469,ORTAK ALAN,ok
2778289,A1-364 TİCARİ 1 KAT  SÜPER MÜH.MEDİKAL,not_found
2778182,A1-365 TİCARİ 1 KAT. SÜPER MÜH.MEDİKAL,not_found
2778316,A1-366 TİCARİ 1 KAT. WE TRADE,not_found
2778239,A1-367 TİCARİ 1 KAT,not_found
2778164,A1-368 TİCARİ 1 KAT (CLEAR SMİLE),not_found
2778247,A1-369 TİCARİ 1 KAT,not_found
2777736,A1-370 TİCARİ 1 KAT,not_found
2777483,A1-371 TİCARİ 1 KAT GVS,not_found
2777707,A1-372 TİCARİ 1 KAT,not_found
2778516,A1-373 TİCARİ 1 KAT,not_found
2777634,A1-374 TİCARİ 1 KAT,not_found
2778299,A1-375 TİCARİ 1 KAT (ALL NET CONSULTING),not_found
2778735,A1-376 TİCARİ 1 KAT,not_found
2778742,A1-377 TİCARİ 1 KAT,not_found
2778205,A1-378 TİCARİ 1 KAT (ALU MASTER),not_found
MSY300267030,ORTAK ALAN,no_readings
MSY300267014,DÖHLER ORTAK ALAN,ok
MSY300265737,DÖHLER,ok
MSY300265464,MAC FİT  30,ok
MSY300265461,MİGROS 35,ok
MSY300265740,ZEKUBİ KUYUMCU,ok
MSY810028051,STATEMENT,not_found
MSY300265463,AYUMİ SUSHİ,ok
MSY300265572,VODEFONE 110,ok
2777723,A3 TİCARİ ASANSÖR1 175,not_found
2778264,A3 TİCARİ ASANSÖR2 176,not_found
MSY300267472,TÜKCELL 111,ok
MSY300266992,TÜRK TELEKOM,ok
MSY300265653,DÖHLER ,ok
MSY300267458,DÖHLER 181 YENİ DÜKKAN (WC YANI SAĞ YÖN),ok
MSY810043851,Trafo 1,not_found
MSY810044603,Trafo 2,not_found
MSY810044485,Trafo 3,not_found
MSY300265721,YANGIN POMPASI A2 A5 JET FAN (Vale enerjisi ayrıldıktan sonran avm ve konut 75%25 bölünmeye yine devam edilecek ,ok
MSY100371256,RİTİM VALE ,not_found
MSY810027046,TİCARİ KAZAN,not_found
MSY300265749,TİCARİ CH 1,ok
MSY300265647,TİCARİ CH 2,ok
MSY300265465,A3 A4 JET FAN,ok
MSY300265564,CAFE NERO 8,no_readings
MSY300265819,TOYZ SHOP 34,ok
MSY300267459,MESCİT 171,ok
2777725,A5 TİCARİ ASANSÖR1 172,not_found
2777718,A5 TİCARİ ASANSÖR2 173,not_found
MSY300267031,WATSONS,ok
2776620," A5 TİCARİ OFİS 48",not_found
2776366," A5 TİCARİ OFİS 49",not_found
1445451," A5 TİCARİ OFİS 50",not_found
2776459," A5 TİCARİ OFİS 51",not_found
2777101," A5 TİCARİ OFİS 52",not_found
5070283," A5 T.OFİS 53 B-1 TİCARİ KAT (CARGOMOST LOGISTİC)",not_found
5070396," A5 T.OFİS 54 B-1 TİCARİ KAT (AKADEMİ MÜHENDİSLİK)",not_found
MSY300265639,GARAJ FORM D-6,ok
MSY300265748,GARAJ FORM D-7,ok
MSY300265825,GARAJ FORM D-8,ok
MSY300265965,GARAJ FORM D-9,ok
MSY300265820,GARAJ FORM D-10,ok
2777641,A1-379 TİCARİ 1 KAT ,not_found
2778378,A5-191 1 KAT TİCARİ OFİS,not_found
