source,normalized_serial,mongo_meter_serial,mongo_name,mongo_status,ami_meter_serial
matched,2777483,2777483,A1-371 TİCARİ 1 KAT GVS,not_found,2777483
matched,300264780,MSY300264780,NORMOD MOBİLYA,ok,MSY300264780
matched,300267013,MSY300267013,YÜRÜYEN MERDİVEN2 168,ok,MSY300267013
matched,300265462,MSY300265462,,new_from_ami,MSY300265462
matched,300267472,MSY300267472,TÜKCELL 111,ok,MSY300267472
matched,300264782,MSY300264782,AYUMİ DEPO,ok,MSY300264782
matched,300267466,MSY300267466,"B-2 ve B-3 G12 AVM GİRİŞLER, KAYAR LED*",ok,MSY300267466
matched,300267001,MSY300267001,KÖFTECİ YUSUF DEPO 4,ok,MSY300267001
matched,2778227,2778227,A5-172 1 KAT TİCARİ OFİS (DEVATEK),not_found,2778227
matched,2776956,2776956,B-1 KAT TİCARİ DÜKKAN 45,not_found,2776956
matched,300266997,MSY300266997,"PERSONEL DİNLENME ALANI ODASI B-2 ELEK,OD",ok,MSY300266997
matched,300267458,MSY300267458,DÖHLER 181 YENİ DÜKKAN (WC YANI SAĞ YÖN),ok,MSY300267458
matched,2777634,2777634,A1-374 TİCARİ 1 KAT,not_found,2777634
matched,300265656,MSY300265656,STARBACKS,ok,MSY300265656
matched,2778336,2778336,MİTSUBISHI ASANSÖR1 163,not_found,2778336
matched,300266994,MSY300266994,A-2 BLOK KAYAR LED DIŞ AYDINLATMA,ok,MSY300266994
matched,2777783,2777783,A5-173 1 KAT TİCARİ OFİS,not_found,2777783
matched,810028051,MSY810028051,STATEMENT,not_found,AEL810028051
matched,300267000,MSY300267000,YÜRÜYEN MERDİVEN 1,ok,MSY300267000
matched,300265721,MSY300265721,YANGIN POMPASI A2 A5 JET FAN (Vale enerjisi ayrıldıktan sonran avm ve konut 75%25 bölünmeye yine devam edilecek ,ok,MSY300265721
matched,2778117,VIK2778117,TİCARİ ASANSÖR2 166,not_found,2778117
matched,5070396,5070396, A5 T.OFİS 54 B-1 TİCARİ KAT (AKADEMİ MÜHENDİSLİK),not_found,5070396
matched,300265737,MSY300265737,DÖHLER,ok,MSY300265737
matched,300266992,MSY300266992,TÜRK TELEKOM,ok,MSY300266992
matched,2777742,2777742,A5-185 1 KAT TİCARİ OFİS (HÜSEYİN ÖNDER ALDEMİR),not_found,2777742
matched,300265974,MSY300265974,KÖFTECİ YUSUF1,ok,MSY300265974
matched,2778742,2778742,A1-377 TİCARİ 1 KAT,not_found,2778742
matched,2778276,2778276,TİCARİ ASANSÖR1 165,not_found,2778276
matched,300267184,MSY300267184,YÜRÜYEN MERDİVEN 2,ok,MSY300267184
matched,2778370,2778370,A5-171 1 KAT TİCARİ OFİS (DEVATEK),not_found,2778370
matched,300265964,MSY300265964,KÖFTECİ YUSUF 5,ok,MSY300265964
matched,300265740,MSY300265740,ZEKUBİ KUYUMCU,ok,MSY300265740
matched,300265652,MSY300265652,,new_from_ami,MSY300265652
matched,2778735,2778735,A1-376 TİCARİ 1 KAT,not_found,2778735
matched,2777023,2777023,B-1 KAT TİCARİ DÜKKAN 42,not_found,2777023
matched,2778264,2778264,A3 TİCARİ ASANSÖR2 176,not_found,2778264
matched,300265470,MSY300265470,OTOMANA 1453,ok,MSY300265470
matched,5070283,5070283, A5 T.OFİS 53 B-1 TİCARİ KAT (CARGOMOST LOGISTİC),not_found,5070283
matched,2777730,2777730,A5-186 1 KAT TİCARİ OFİS,not_found,2777730
matched,300264777,MSY300264777,NEZİH KİTAP EVİ,ok,MSY300264777
matched,300265757,MSY300265757,AUTO CLUB (OTO YIKAMA),ok,MSY300265757
matched,300267157,MSY300267157,SCH İNDLER CAM ASANSÖR,ok,MSY300267157
matched,300267329,MSY300267329,TÜRKCELL 107,ok,MSY300267329
matched,300267014,MSY300267014,DÖHLER ORTAK ALAN,ok,MSY300267014
matched,300267319,MSY300267319,YÜRÜYEN MERDİVEN1 167,ok,MSY300267319
matched,300265647,MSY300265647,TİCARİ CH 2,ok,MSY300265647
matched,2778516,2778516,A1-373 TİCARİ 1 KAT,not_found,2778516
matched,300265566,MSY300265566,BURGER KİNG 2,ok,MSY300265566
matched,300267468,MSY300267468,OKTAY TORLAK,ok,MSY300267468
matched,300267321,MSY300267321,GALERİ OPTİK,ok,MSY300267321
matched,100371354,MSY100371354,İŞBANKASI ATM,ok,MSY100371354
matched,300265466,MSY300265466,FUNDORA AİLE EĞLENCE MERKEZİ,ok,MSY300265466
matched,300264784,MSY300264784,RİTİM BAHÇE REKLAM (AVM SAYACI),ok,MSY300264784
matched,2778316,2778316,A1-366 TİCARİ 1 KAT. WE TRADE,not_found,2778316
matched,100371728,MSY100371728,GARANTİ ATM,ok,MSY100371728
matched,300265653,MSY300265653,DÖHLER ,ok,MSY300265653
matched,100371459,MSY100371459,AKBANK ATM,ok,MSY100371459
matched,300265572,MSY300265572,VODEFONE 110,ok,MSY300265572
matched,300265649,MSY300265649,MICHIGAN KAFE,ok,MSY300265649
matched,810044631,MSY810044631,Trafo 4,not_found,AEL810044631
matched,300265642,MSY300265642,RED ROSECAKE,ok,MSY300265642
matched,300265557,MSY300265557,,new_from_ami,MSY300265557
matched,2777632,2777632,A5-182 1 KAT TİCARİ OFİS (KİN TURKEY),not_found,2777632
matched,300265464,MSY300265464,MAC FİT  30,ok,MSY300265464
matched,2778299,2778299,A1-375 TİCARİ 1 KAT (ALL NET CONSULTING),not_found,2778299
matched,300265748,MSY300265748,GARAJ FORM D-7,ok,MSY300265748
matched,300267172,MSY300267172,ECZANE,ok,MSY300267172
matched,300267185,MSY300267185,SÜPER ONLİNE  108,ok,MSY300267185
matched,300265463,MSY300265463,AYUMİ SUSHİ,ok,MSY300265463
matched,810044603,MSY810044603,Trafo 2,not_found,AEL810044603
matched,810026769,MSY810026769,KÖFTECİ YUSUF3,not_found,AEL810026769
matched,2778289,2778289,A1-364 TİCARİ 1 KAT  SÜPER MÜH.MEDİKAL,not_found,2778289
matched,2777610,2777610,A5-184 1 KAT TİCARİ OFİS,not_found,2777610
matched,300265639,MSY300265639,GARAJ FORM D-6,ok,MSY300265639
matched,300265643,MSY300265643,(GRANDE GÜV. OFİSİ) AVM YÖNETİM 360,ok,MSY300265643
matched,2777607,2777607,A5-187 1 KAT TİCARİ OFİS,not_found,2777607
matched,2778247,2778247,A1-369 TİCARİ 1 KAT,not_found,2778247
matched,300265469,MSY300265469,,new_from_ami,MSY300265469
matched,2776459,2776459, A5 TİCARİ OFİS 51,not_found,2776459
matched,2778239,2778239,A1-367 TİCARİ 1 KAT,not_found,2778239
matched,2777529,2777529,A5-190 1 KAT TİCARİ OFİS,not_found,2777529
matched,300267459,MSY300267459,MESCİT 171,ok,MSY300267459
matched,300267324,MSY300267324,TÜRKTELEKOM 105,ok,MSY300267324
matched,300265461,MSY300265461,MİGROS 35,ok,MSY300265461
matched,2777073,2777073,DÜKKAN 39 ÜÇAY MÜHENDİSLİK,not_found,2777073
matched,2778223,2778223,A-055 B-1 TİCARİ KAT  (BRAİN CENTER),not_found,2778223
matched,2386241,2386241,A 47 B-1 KAT TİCARİ,not_found,2386241
matched,810043851,MSY810043851,Trafo 1,not_found,AEL810043851
matched,2777506,2777506,A5-176 1 KAT TİCARİ OFİS,not_found,2777506
matched,100371627,MSY100371627,YAPI KREDİ ATM,ok,MSY100371627
matched,300265657,MSY300265657,BOUTİQUEN (KFC SOL YANI),ok,MSY300265657
matched,2778205,2778205,A1-378 TİCARİ 1 KAT (ALU MASTER),not_found,2778205
matched,300265731,MSY300265731,,new_from_ami,MSY300265731
matched,300265819,MSY300265819,TOYZ SHOP 34,ok,MSY300265819
matched,1445451,1445451, A5 TİCARİ OFİS 50,not_found,1445451
matched,2778165,2778165,A-056 B-1 TİCARİ KAT (STUDİORKİDE),not_found,2778165
matched,2386397,2386397,A 46 B-1 KAT TİCARİ A-046  B-1 TİCARİ KAT (GULFSTAR),not_found,2386397
matched,300267469,MSY300267469,ORTAK ALAN,ok,MSY300267469
