"AMİ Sayaç no","Sıra No","Bölge","Kolayveri cihaz no","Firma adı ve nereye ait","Akım trafo oranı","Çarpan değeri"
"MSY300267000","1","B2-B2 A5 ASANSÖR YANI ATÖLYE YANI","MA-RF-3486-6DEB","YÜRÜYEN MERDİVEN 1","1","1"
"MSY300267184","2","B2-B2 A5 ASANSÖR YANI ATÖLYE YANI","MA-RF-3486-6DEB","YÜRÜYEN MERDİVEN 2","1","1"
"MSY300267466","3","B2-B2 A5 ASANSÖR YANI ATÖLYE YANI","MA-RF-3486-6DEB","B-2 ve B-3 G12 AVM GİRİŞLER, KAYAR LED*","1","1"
"MSY300267157","4","B2-B2 A5 ASANSÖR YANI ATÖLYE YANI","MA-RF-3486-6DEB","SCHİNDLER CAMLI ASANSÖR","1","1"
"MSY300265654","5","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-32C7-53E8","E BEBEK 17-18-19","75/5","15"
"MSY300265657","6","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-32C7-53E8","BOUTİQUEN (KFC SOL YANI) 359","125/5","25"
"MSY300265643","7","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-32C7-53E8","(GRANDE GÜV. OFİSİ) AVM YÖNETİM 360","150/5","30"
"MSY300265642","8","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-32C7-53E8","RED ROSECAKE 361-362","125/5","25"
"MSY300265656","9","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-32C7-53E8","STARBACKS 357","150/5","30"
"MSY300265752","10","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-32C7-53E8","ARDEN FC 358","125/5","25"
"MSY300265470","11","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-32C7-53E8","OTOMANA 1453 -363","75/5","15"
"MSY300264784","12","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","RİTİM BAHÇE REKLAM (AVM SAYACI)","75/5","15"
"MSY300267324","13","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","TÜRKTELEKOM 105","1","1"
"MSY300267029","14","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","VODEFONE 106","1","1"
"MSY300267329","15","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","TÜRKCELL 107","1","1"
"02778336","16","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","KONUT MİTSUBISHI ASANSÖR 1 163","1","1"
"MSY300267022","17","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","AS-30  G12 AVM MİTSUBISHI ASANSÖR 2 164","1","1"
"02778276","18","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","TİCARİ ASANSÖR1 165","1","1"
"02778117","19","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","TİCARİ ASANSÖR2 166","1","1"
"MSY300267319","20","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","AVM YÜRÜYEN MERDİVEN1 167","1","1"
"MSY300267013","21","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","AVM YÜRÜYEN MERDİVEN2 168","1","1"
"MSY300267330","22","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","PENTİ  20-21","1","1"
"MSY300267321","23","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","GALERİ OPTİK 22","1","1"
"MSY300267010","24","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","E-BEBEK ARKASI AVM YÖENİTM DEPO      (AVM ORTAK ALAN)","1","1"
"MSY300266997","25","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","PERSONEL DİNLENME ALANI ODASI B-2","1","1"
"MSY100371627","26","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","YAPI KREDİ ATM","1","1"
"MSY100371728","27","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","GARANTİ ATM","1","1"
"MSY100371354","28","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","İŞBANKASI ATM","1","1"
"MSY100371459","29","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","AKBANK ATM","1","1"
"MSY100371470","30","B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI","MA-RF-3486-6DF2","ZİRAAT BANKASI ATM","1","1"
"AEL810044631","31","B2-Trafo 1","MA-RF-3486-7003","ANA TRAFO PANASU (TR6)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma","100/5","20"
"MSY300265471","32","B2-B2 YAKIT TANKI ELEKTRİK ODASI YANI A6","MA-RF-3486-7003","A1 YANGIN PANOSU","1600/5","320"
"MSY300267179","33","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","TÜRKTELEKOM YENİ SAYAÇ 17.12.2025","1","1"
"MSY300265974","34","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","KÖFTECİ YUSUF1 109-110","150/5","30"
"AEL810026991","35","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","KÖFTECİ YUSUF2 111-113","250/5","50"
"AEL810026769","36","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","DÖNER ""Y"" KÖFTECİ YUSUF 3 115","250/5","50"
"MSY300267001","37","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","KÖFTECİ YUSUF DEPO 4 -178-(B-2 BÜYÜK DEPO)","1","1"
"MSY300266994","38","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","A-2 BLOK KAYAR LED DIŞ AYDINLATMA","1","1"
"MSY300265566","39","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","BURGER KİNG 2 -114","400/5","80"
"MSY300265964","40","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","KÖFTECİ YUSUF 5-112","400/5","80"
"MSY300265466","41","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","FUNDORA AİLE EĞLENCE MERKEZİ 23","1000/5","200"
"MSY300265757","43","B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI","MA-RF-3486-7016","AUTO CLUB (OTO YIKAMA)","75/5","15"
"MSY300264781","44","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","GARAJ FORM B-3 D-11","75/5","15"
"02378736","45","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","GARAJ FORM B-3 D-12","100/5","20"
"MSY300265755","46","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","GETİR  45  13-14","75/5","15"
"02386493","47","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","STATEMENT DEPO 71  Z-K A-4","125/5","15"
"02386341","48","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","NA TAMAAM DÜKKAN 72 Z-K A-4","150/5","30"
"MSY300264782","49","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","AYUMİ DEPO 73","150/5","30"
"02386259","50","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","NA TAMAAM DÜKKAN 74 Z-K A-4","125/5","25"
"02386314","51","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","Z-75 A-4 BLOK","75/5","15"
"02386397","52","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","A 46 B-1 KAT TİCARİ A-046  B-1 TİCARİ KAT (GULFSTAR)","75/5","15"
"02386241","53","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","A 47 B-1 KAT TİCARİ","75/5","15"
"MSY300267185","54","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","SÜPER ONLİNE  108","1","1"
"MSY300267183","55","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","VODEFONE 109","1","1"
"MSY300264792","56","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-700B","YENİ YÖNETİM OFİS","100/5","20"
"02777073","58","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-7015","DÜKKAN 39 ÜÇAY MÜHENDİSLİK","1","1"
"02777096","59","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-7015","DÜKKAN 40 ÜÇAY MÜHENDİSLİK","1","1"
"02777086","60","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-7015","DÜKKAN 41 ÜÇAY MÜHENDİSLİK","1","1"
"02777023","61","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-7015","B-1 KAT TİCARİ DÜKKAN 42","1","1"
"02777124","62","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-7015","B-1 KAT TİCARİ DÜKKAN 43","1","1"
"02777069","63","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-7015","B-1 KAT TİCARİ DÜKKAN 44","1","1"
"02776956","64","B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI","MA-RF-3486-7015","B-1 KAT TİCARİ DÜKKAN 45","1","1"
"MSY300265649","65","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","MICHIGAN KAFE 01","75/5","15"
"MSY300264785","66","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","DRY CLEAN ( KURU TEMİZLEME) 02","75/5","15"
"MSY300264777","68","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","NEZİH KİTAP EVİ 37","75/5","15"
"MSY300267172","69","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","ECZANE 38","1","1"
"MSY300264780","70","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","NORMOD MOBİLYA 73-74 A-6 BLOK","125/5","25"
"02778223","72","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","B-1 KAT DÜKKAN 55","1","1"
"02778165","73","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","B-1 KAT DÜKKAN 56","1","1"
"05077584","74","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","B-1 KAT DÜKKAN 57","1","1"
"MSY300267468","75","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","SATRANÇ TURNUVASI ALANI 36","1","1"
"02778373","76","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","B-1 KAT DÜKKAN 58","1","1"
"02778113","77","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","B-1 KAT DÜKKAN 59","1","1"
"02777411","78","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","B-1 KAT DÜKKAN 60","1","1"
"02777285","79","B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ)","MA-RF-3486-7026","B-1 KATDÜKKAN 61","1","1"
"02778370","80","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-171 1 KAT TİCARİ OFİS (DEVATEK)","1","1"
"02778227","81","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-172 1 KAT TİCARİ OFİS (DEVATEK)","1","1"
"02777783","82","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-173 1 KAT TİCARİ OFİS","1","1"
"02778286","83","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-174 1 KAT TİCARİ OFİS","1","1"
"02778242","84","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-175 1 KAT TİCARİ OFİS","1","1"
"02777506","85","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-176 1 KAT TİCARİ OFİS","1","1"
"02778266","86","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-177 1 KAT TİCARİ OFİS","1","1"
"02778269","87","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-178 1 KAT TİCARİ OFİS (İPEK YOLU)","1","1"
"02777703","88","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-179 1 KAT TİCARİ OFİS (İPEK YOLU)","1","1"
"02778337","89","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-180 1 KAT TİCARİ OFİS","1","1"
"02778303","90","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-181 1 KAT TİCARİ OFİS  (ALLZİN)","1","1"
"02777632","91","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-182 1 KAT TİCARİ OFİS (KİN TURKEY)","1","1"
"02778274","92","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-183 1 KAT TİCARİ OFİS","1","1"
"02777610","93","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-184 1 KAT TİCARİ OFİS","1","1"
