meter_serial,name,base_index_value,base_index_date,multiplier
2778336,KONUT MİTSUBISHI ASANSÖR 1 163,444.49,5/31/2026,1
2778276,TİCARİ ASANSÖR1 165,"16,108.93",5/31/2026,1
2778117,TİCARİ ASANSÖR2 166,"19,564.72",5/31/2026,1
2378736,GARAJ FORM B-3 D-12,633.48,5/31/2026,20
2386493,STATEMENT DEPO 71  Z-K A-4,74.98,5/31/2026,25
2386341,NA TAMAAM DÜKKAN 72 Z-K A-4,0.88,5/31/2026,25
2386259,NA TAMAAM DÜKKAN 74 Z-K A-4,0.16,5/31/2026,25
2386314,Z-75 A-4 BLOK,0.23,5/31/2026,15
2386397,A 46 B-1 KAT TİCARİ A-046  B-1 TİCARİ KAT (GULFSTAR),316.81,5/31/2026,15
2386241,A 47 B-1 KAT TİCARİ,851.57,5/31/2026,15
2777073,DÜKKAN 39 ÜÇAY MÜHENDİSLİK,"27,676.77",5/31/2026,1
2777096,DÜKKAN 40 ÜÇAY MÜHENDİSLİK,"36,880.19",5/31/2026,1
2777086,DÜKKAN 41 ÜÇAY MÜHENDİSLİK,"154,869.71",5/31/2026,1
2777023,B-1 KAT TİCARİ DÜKKAN 42,"15,824.92",5/31/2026,1
2777124,B-1 KAT TİCARİ DÜKKAN 43,"5,020.45",5/31/2026,1
2777069,B-1 KAT TİCARİ DÜKKAN 44,"13,407.14",5/31/2026,1
2776956,B-1 KAT TİCARİ DÜKKAN 45,"6,034.11",5/31/2026,1
2385964,HEROS PİZZA DÜKKAN 03,384.85,5/31/2026,15
2386315,Z-K A-6 BLOK 75,0.01,5/31/2026,15
2778223,B-1 KAT DÜKKAN 55,"4,694.94",5/31/2026,1
2778165,B-1 KAT DÜKKAN 56,"7,222.87",5/31/2026,1
2778373,B-1 KAT DÜKKAN 58,"9,708.54",5/31/2026,1
2778113,B-1 KAT DÜKKAN 59,"9,150.92",5/31/2026,1
2777411,B-1 KAT DÜKKAN 60,594.74,5/31/2026,1
2777285,B-1 KATDÜKKAN 61,"9,018.85",5/31/2026,1
2778370,A5-171 1 KAT TİCARİ OFİS (DEVATEK),"26,665.45",5/31/2026,1
2778227,A5-172 1 KAT TİCARİ OFİS (DEVATEK),"2,562.92",5/31/2026,1
2777783,A5-173 1 KAT TİCARİ OFİS,"19,846.73",5/31/2026,1
2778286,A5-174 1 KAT TİCARİ OFİS,"16,169.37",5/31/2026,1
2778242,A5-175 1 KAT TİCARİ OFİS,"16,164.13",5/31/2026,1
2777506,A5-176 1 KAT TİCARİ OFİS,43.55,5/31/2026,1
2778266,A5-177 1 KAT TİCARİ OFİS,"36,546.08",5/31/2026,1
2778269,A5-178 1 KAT TİCARİ OFİS (İPEK YOLU),"8,087.80",5/31/2026,1
2777703,A5-179 1 KAT TİCARİ OFİS (İPEK YOLU),"4,662.13",5/31/2026,1
2778337,A5-180 1 KAT TİCARİ OFİS,"1,823.29",5/31/2026,1
2778303,A5-181 1 KAT TİCARİ OFİS  (ALLZİN),"4,923.55",5/31/2026,1
2777632,A5-182 1 KAT TİCARİ OFİS (KİN TURKEY),"2,443.57",5/31/2026,1
2778274,A5-183 1 KAT TİCARİ OFİS,"6,299.59",5/31/2026,1
2777610,A5-184 1 KAT TİCARİ OFİS,"1,229.32",5/31/2026,1
2777742,A5-185 1 KAT TİCARİ OFİS (HÜSEYİN ÖNDER ALDEMİR),"8,014.65",5/31/2026,1
2777730,A5-186 1 KAT TİCARİ OFİS,"13,335.83",5/31/2026,1
2777607,A5-187 1 KAT TİCARİ OFİS,"10,946.01",5/31/2026,1
2777613,A5-188 1 KAT TİCARİ OFİS (CEREN SEYHAN),"4,835.46",5/31/2026,1
2777684,"A5-189 1 KAT TİCARİ OFİS (CİHANGİR SAĞ, TURZ)","5,903.13",5/31/2026,1
2777529,A5-190 1 KAT TİCARİ OFİS,"3,777.16",5/31/2026,1
2778378,"A5-191 1 KAT TİCARİ, HENÜZ BOŞ BULUNUYOR",13.24,5/31/2026,1
2778289,A1-364 TİCARİ 1 KAT  SÜPER MÜH.MEDİKAL,1.39,5/31/2026,1
2778182,A1-365 TİCARİ 1 KAT. SÜPER MÜH.MEDİKAL,"41,245.94",5/31/2026,1
2778316,A1-366 TİCARİ 1 KAT. WE TRADE,"4,632.07",5/31/2026,1
2778239,A1-367 TİCARİ 1 KAT,"13,111.50",5/31/2026,1
2778164,A1-368 TİCARİ 1 KAT (CLEAR SMİLE),"67,543.94",5/31/2026,1
2778247,A1-369 TİCARİ 1 KAT,"66,426.89",5/31/2026,1
2777736,A1-370 TİCARİ 1 KAT,0.92,5/31/2026,1
2777483,A1-371 TİCARİ 1 KAT GVS,"19,669.08",5/31/2026,1
2777707,A1-372 TİCARİ 1 KAT,"11,289.79",5/31/2026,1
2778516,A1-373 TİCARİ 1 KAT,1.63,5/31/2026,1
2777634,A1-374 TİCARİ 1 KAT,"88,429.43",5/31/2026,1
2778299,A1-375 TİCARİ 1 KAT (ALL NET CONSULTING),"43,331.79",5/31/2026,1
2778735,A1-376 TİCARİ 1 KAT,"5,498.36",5/31/2026,1
2778742,A1-377 TİCARİ 1 KAT,"8,077.45",5/31/2026,1
2778205,A1-378 TİCARİ 1 KAT (ALU MASTER),"6,402.98",5/31/2026,1
2777641,A1-379 TİCARİ 1 KAT,0.7,5/31/2026,1
2386317,RİTİM SİWİM,0.06,5/31/2026,15
2385994,29 FUNDORA DEPO (RİTİM SİWİM YANI),6,5/31/2026,15
2386383,DÜRÜMLE 176,"1,419.48",5/31/2026,25
2778295,ESKİ MAZAYA OFİS SAYACI,"2,769.00",5/31/2026,1
2777723,A3 TİCARİ ASANSÖR1 175,"19,018.26",5/31/2026,1
2778264,A3 TİCARİ ASANSÖR2 176,"22,026.22",5/31/2026,1
2386333,Z-KA-5 161,0.74,5/31/2026,15
2385962,NA TAMAAM DÜKKAN 169,0.28,5/31/2026,15
2777725,A5 TİCARİ ASANSÖR1 172,"16,784.80",5/31/2026,1
2777718,A5 TİCARİ ASANSÖR2 173,"13,190.74",5/31/2026,1
2776620,A5 T.OFİS 48,"11,267.42",5/31/2026,1
2776366,A5 T.OFİS 49,"2,142.94",5/31/2026,1
1445451,A5 T.OFİS 50,495.53,5/31/2026,1
2776459,A5 T.OFİS 51,"2,219.03",5/31/2026,1
2777101,A5 T.OFİS 52,"7,326.20",5/31/2026,1
5070283,A5 T.OFİS 53,"9,152.18",5/31/2026,1
5070396,A5 T.OFİS 54,"14,153.46",5/31/2026,1
2386010,BAFRA PİDE DÜKKAN 4,0.26,5/31/2026,15
2385628,BAFRA PİDE  DÜKKAN 5,5.65,5/31/2026,15
